period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Productieverantwoordelijke land- en tuinbouw,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Verantwoordelijke tuin- en groenaanleg en -onderhoud,11
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Medische, paramedische en verzorgende beroepen","Verpleegkundigen, vroedvrouwen en zorgpersoneel",Persoonlijk assistent,0
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Onbekend,Onbekend,Onbekend,0
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Accountants,Accountant,46
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Accountants,Assistent accountancy,55
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Accountants,Credit collector,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Accountants,Dossierbeheerder accountancy,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Managementassistent,46
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Onthaalmedewerker,21
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Polyvalent administratief medewerker,462
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Technisch-administratief medewerker,130
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Adviseur bedrijfsorganisatie en management,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Business en financial controller,17
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Compliance officer,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Mediabuyer,1
