period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,101
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,HR-experts,95
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Tekenaars en vormgevers,92
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Leidinggevenden,83
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,66
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Bewerkers van voeding,48
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Dienstverlenende beroepen,Juridische dienstverleners,39
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Horecaberoepen,Horecapersoneel,27
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",22
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Dienstverlenende beroepen,Experts vastgoed,14
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,11
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,9
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,7
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Dienstverlenende beroepen,Medewerkers in finance,5
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Beoefenaars van ambachten,5
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Dienstverlenende beroepen,Persoonlijke dienstverleners,4
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Precisietechniekers,4
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,4
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Confectie- en lederwerkers,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Dienstverlenende beroepen,Adviesverleners,2
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,2
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,"Medische, paramedische en verzorgende beroepen",Paramedici,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Pedagogische beroepen,Opvoedkundig personeel,1
