period_end,period_year,period_month,period_label,period_short,beroep,vacatures
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bediener machines verticale boringen,10
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bediener machines verticale boringen,7
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bediener machines verticale boringen,5
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bediener machines verticale boringen,14
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bediener machines verticale boringen,7
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bediener machines verticale boringen,8
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bediener of medewerker diepfunderingsmachines,2
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bediener of medewerker diepfunderingsmachines,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bediener of medewerker diepfunderingsmachines,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bediener of medewerker diepfunderingsmachines,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bediener of medewerker diepfunderingsmachines,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bediener van betonnerings- en asfalteringsmachines,8
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bediener van betonnerings- en asfalteringsmachines,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bediener van betonnerings- en asfalteringsmachines,0
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bediener van betonnerings- en asfalteringsmachines,6
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bediener van betonnerings- en asfalteringsmachines,13
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bediener van betonnerings- en asfalteringsmachines,2
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bediener van betonnerings- en asfalteringsmachines,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bediener van betonnerings- en asfalteringsmachines,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bediener van betonnerings- en asfalteringsmachines,5
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bediener van betonnerings- en asfalteringsmachines,14
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Beeldopnametechnicus,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Behandelaar luchtvracht en bagage,2
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Behandelaar luchtvracht en bagage,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Beheerder verzekeringen,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Beheerder verzekeringen,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Beheerder verzekeringen,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Beheerder verzekeringen,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Beheerder verzekeringen,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Beheerder verzekeringen,3
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Beheerder verzekeringen,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bekister-betonneerder,231
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bekister-betonneerder,305
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bekister-betonneerder,219
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bekister-betonneerder,218
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bekister-betonneerder,251
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bekister-betonneerder,324
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bekister-betonneerder,223
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bekister-betonneerder,134
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bekister-betonneerder,202
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bekister-betonneerder,164
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Belastingadviseur,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Belastingadviseur,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Belastingadviseur,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Belastingadviseur,4
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Belastingadviseur,2
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Beleidsdeskundige,2
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Beleidsdeskundige,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Beleidsdeskundige,3
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Beleidsdeskundige,15
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Beleidsdeskundige,50
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Beleidsdeskundige,49
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Beleidsdeskundige,32
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Beleidsdeskundige,29
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Beleidsdeskundige,28
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bemanning zeevaart,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bemanning zeevaart,0
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bemanning zeevaart,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bestuurder van bosexploitatiemachines,2
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bestuurder van bosexploitatiemachines,3
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bestuurder van bosexploitatiemachines,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bestuurder van bosexploitatiemachines,4
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bestuurder van bosexploitatiemachines,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bestuurder van bosexploitatiemachines,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bestuurder van bosexploitatiemachines,6
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bestuurder van bosexploitatiemachines,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bestuurder van bosexploitatiemachines,0
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bestuurder van sleepvoertuigen,2
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bestuurder van sleepvoertuigen,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Beveiligingstechnicus,181
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Beveiligingstechnicus,107
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Beveiligingstechnicus,84
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Beveiligingstechnicus,63
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Beveiligingstechnicus,59
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Beveiligingstechnicus,84
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Beveiligingstechnicus,53
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Beveiligingstechnicus,54
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Beveiligingstechnicus,48
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Beveiligingstechnicus,51
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bewakingsagent,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bewakingsagent,9
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bibliothecaris-archivaris,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bibliothecaris-archivaris,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bibliotheekdeskundige,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bibliotheekdeskundige,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bibliotheekmedewerker,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bibliotheekmedewerker,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bibliotheekmedewerker,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bodemonderzoeker,5
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bodemonderzoeker,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bodemonderzoeker,13
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bodemonderzoeker,7
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bodemonderzoeker,3
