rank,period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file,share_pct
118,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Architect,19,vacatures_202604_all.xlsx,0.1
119,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Technicus elektro en elektronica,19,vacatures_202604_all.xlsx,0.1
120,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Plaatser van houten vloerbedekking,19,vacatures_202604_all.xlsx,0.1
121,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Facility manager,17,vacatures_202604_all.xlsx,0.1
122,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,Operator CNC-gestuurde houtbewerkingsmachines,17,vacatures_202604_all.xlsx,0.1
123,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Projectmanager business,17,vacatures_202604_all.xlsx,0.1
124,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Tekenaars en vormgevers,Tekenaar-ontwerper mechanica,16,vacatures_202604_all.xlsx,0.1
125,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Persoonlijke dienstverleners,Medewerker kuuroord,16,vacatures_202604_all.xlsx,0.1
126,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Huishoudhulp-poetshulp,14,vacatures_202604_all.xlsx,0.1
127,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,Bediener van betonnerings- en asfalteringsmachines,14,vacatures_202604_all.xlsx,0.1
128,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Plaatser van soepele vloerbekledingen,14,vacatures_202604_all.xlsx,0.1
