y,q,lvl,nis,type,n,p50,p25,p75,name
2010,1,5,13011,alle_huizen,41.0,186000.0,138000.0,240000.0,HERENTALS
2010,1,5,13011,appartementen,20.0,125000.0,96910.0,161250.0,HERENTALS
2010,1,5,13011,huizen_23,29.0,161043.0,125000.0,195610.0,HERENTALS
2010,1,5,13011,huizen_4plus,12.0,,,,HERENTALS
2010,1,5,13012,alle_huizen,14.0,,,,HERENTHOUT
2010,1,5,13012,appartementen,3.0,,,,HERENTHOUT
2010,1,5,13012,huizen_23,11.0,,,,HERENTHOUT
2010,1,5,13012,huizen_4plus,3.0,,,,HERENTHOUT
2010,1,5,13013,alle_huizen,43.0,102200.0,20750.0,175000.0,HERSELT
2010,1,5,13013,appartementen,3.0,,,,HERSELT
2010,1,5,13013,huizen_23,10.0,,,,HERSELT
2010,1,5,13013,huizen_4plus,33.0,42000.0,20000.0,175000.0,HERSELT
2010,1,5,13014,alle_huizen,27.0,240000.0,200000.0,365000.0,HOOGSTRATEN
2010,1,5,13014,appartementen,5.0,,,,HOOGSTRATEN
2010,1,5,13014,huizen_23,11.0,,,,HOOGSTRATEN
2010,1,5,13014,huizen_4plus,16.0,300000.0,240000.0,397500.0,HOOGSTRATEN
2010,1,5,13016,alle_huizen,26.0,201100.0,150000.0,237500.0,HULSHOUT
2010,1,5,13016,appartementen,4.0,,,,HULSHOUT
2010,1,5,13016,huizen_23,9.0,,,,HULSHOUT
2010,1,5,13016,huizen_4plus,17.0,235000.0,150000.0,260000.0,HULSHOUT
2010,1,5,13017,alle_huizen,22.0,245000.0,200000.0,314500.0,KASTERLEE
2010,1,5,13017,appartementen,4.0,,,,KASTERLEE
2010,1,5,13017,huizen_23,9.0,,,,KASTERLEE
2010,1,5,13017,huizen_4plus,13.0,,,,KASTERLEE
2010,1,5,13019,alle_huizen,21.0,211450.0,104475.0,295000.0,LILLE
2010,1,5,13019,appartementen,2.0,,,,LILLE
2010,1,5,13019,huizen_23,4.0,,,,LILLE
2010,1,5,13019,huizen_4plus,17.0,215150.0,63000.0,317500.0,LILLE
2010,1,5,13021,alle_huizen,19.0,150000.0,113000.0,200000.0,MEERHOUT
2010,1,5,13021,appartementen,4.0,,,,MEERHOUT
2010,1,5,13021,huizen_23,13.0,,,,MEERHOUT
2010,1,5,13021,huizen_4plus,6.0,,,,MEERHOUT
2010,1,5,13023,alle_huizen,5.0,,,,MERKSPLAS
2010,1,5,13023,appartementen,1.0,,,,MERKSPLAS
2010,1,5,13023,huizen_23,2.0,,,,MERKSPLAS
2010,1,5,13023,huizen_4plus,3.0,,,,MERKSPLAS
2010,1,5,13025,alle_huizen,57.0,174000.0,135000.0,250000.0,MOL
2010,1,5,13025,appartementen,9.0,,,,MOL
2010,1,5,13025,huizen_23,41.0,165000.0,135000.0,200000.0,MOL
2010,1,5,13025,huizen_4plus,16.0,267500.0,205000.0,307500.0,MOL
2010,1,5,13029,alle_huizen,15.0,,,,OLEN
2010,1,5,13029,appartementen,2.0,,,,OLEN
2010,1,5,13029,huizen_23,1.0,,,,OLEN
2010,1,5,13029,huizen_4plus,14.0,,,,OLEN
2010,1,5,13031,alle_huizen,18.0,218000.0,187000.0,295000.0,OUD-TURNHOUT
2010,1,5,13031,appartementen,1.0,,,,OUD-TURNHOUT
2010,1,5,13031,huizen_23,9.0,,,,OUD-TURNHOUT
2010,1,5,13031,huizen_4plus,9.0,,,,OUD-TURNHOUT
2010,1,5,13035,alle_huizen,21.0,239000.0,221000.0,330000.0,RAVELS
2010,1,5,13035,appartementen,1.0,,,,RAVELS
2010,1,5,13035,huizen_23,7.0,,,,RAVELS
2010,1,5,13035,huizen_4plus,14.0,,,,RAVELS
2010,1,5,13036,alle_huizen,17.0,250000.0,228000.0,320000.0,RETIE
2010,1,5,13036,appartementen,5.0,,,,RETIE
2010,1,5,13036,huizen_23,5.0,,,,RETIE
2010,1,5,13036,huizen_4plus,12.0,,,,RETIE
2010,1,5,13037,alle_huizen,26.0,217500.0,105000.0,319000.0,RIJKEVORSEL
2010,1,5,13037,appartementen,1.0,,,,RIJKEVORSEL
2010,1,5,13037,huizen_23,10.0,,,,RIJKEVORSEL
2010,1,5,13037,huizen_4plus,16.0,258500.0,30975.0,345750.0,RIJKEVORSEL
2010,1,5,13040,alle_huizen,71.0,176000.0,155000.0,220000.0,TURNHOUT
2010,1,5,13040,appartementen,43.0,141000.0,124000.0,192500.0,TURNHOUT
2010,1,5,13040,huizen_23,62.0,170000.0,150000.0,200000.0,TURNHOUT
2010,1,5,13040,huizen_4plus,9.0,,,,TURNHOUT
2010,1,5,13044,alle_huizen,16.0,212500.0,170000.0,246025.0,VORSELAAR
2010,1,5,13044,appartementen,1.0,,,,VORSELAAR
2010,1,5,13044,huizen_23,7.0,,,,VORSELAAR
2010,1,5,13044,huizen_4plus,9.0,,,,VORSELAAR
2010,1,5,13046,alle_huizen,15.0,,,,VOSSELAAR
2010,1,5,13046,appartementen,3.0,,,,VOSSELAAR
2010,1,5,13046,huizen_23,7.0,,,,VOSSELAAR
2010,1,5,13046,huizen_4plus,8.0,,,,VOSSELAAR
2010,1,5,13049,alle_huizen,25.0,185000.0,160000.0,240000.0,WESTERLO
2010,1,5,13049,appartementen,3.0,,,,WESTERLO
2010,1,5,13049,huizen_23,13.0,,,,WESTERLO
