y,r,p,n1,fr,s1,s2,s3,s4,s5,r1,r2,r3,r4,r5
2008,3000,80000,P,11,9,9.0,7.0,5.0,5.0,0.8181818182,0.8181818182,0.6363636364,0.4545454545,0.4545454545
2008,3000,80000,Q,11,9,9.0,7.0,6.0,5.0,0.8181818182,0.8181818182,0.6363636364,0.5454545455,0.4545454545
2008,3000,80000,R,69,64,60.0,56.0,53.0,50.0,0.9275362319,0.8695652174,0.8115942029,0.768115942,0.7246376812
2008,3000,80000,S,91,82,76.0,64.0,58.0,53.0,0.9010989011,0.8351648352,0.7032967033,0.6373626374,0.5824175824
2008,3000,80000,T,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,3000,90000,A,137,127,122.0,118.0,116.0,109.0,0.9270072993,0.8905109489,0.8613138686,0.8467153285,0.795620438
2008,3000,90000,C,84,74,61.0,57.0,53.0,51.0,0.880952381,0.7261904762,0.6785714286,0.630952381,0.6071428571
2008,3000,90000,D,3,3,2.0,2.0,2.0,2.0,1.0,0.6666666667,0.6666666667,0.6666666667,0.6666666667
2008,3000,90000,E,4,3,2.0,2.0,2.0,2.0,0.75,0.5,0.5,0.5,0.5
2008,3000,90000,F,365,347,332.0,308.0,288.0,267.0,0.9506849315,0.9095890411,0.8438356164,0.7890410959,0.7315068493
2008,3000,90000,G,398,351,314.0,277.0,252.0,224.0,0.8819095477,0.7889447236,0.6959798995,0.6331658291,0.5628140704
2008,3000,90000,H,38,33,31.0,27.0,23.0,22.0,0.8684210526,0.8157894737,0.7105263158,0.6052631579,0.5789473684
2008,3000,90000,I,199,181,154.0,133.0,114.0,102.0,0.9095477387,0.7738693467,0.6683417085,0.5728643216,0.5125628141
2008,3000,90000,J,171,146,122.0,99.0,87.0,80.0,0.8538011696,0.7134502924,0.5789473684,0.5087719298,0.4678362573
2008,3000,90000,K,9,8,7.0,7.0,6.0,5.0,0.8888888889,0.7777777778,0.7777777778,0.6666666667,0.5555555556
2008,3000,90000,L,55,48,44.0,40.0,35.0,31.0,0.8727272727,0.8,0.7272727273,0.6363636364,0.5636363636
2008,3000,90000,M,298,267,242.0,225.0,214.0,199.0,0.8959731544,0.8120805369,0.755033557,0.7181208054,0.6677852349
2008,3000,90000,N,147,126,111.0,95.0,85.0,77.0,0.8571428571,0.7551020408,0.6462585034,0.5782312925,0.5238095238
2008,3000,90000,P,35,29,21.0,16.0,16.0,11.0,0.8285714286,0.6,0.4571428571,0.4571428571,0.3142857143
2008,3000,90000,Q,31,29,21.0,21.0,17.0,14.0,0.935483871,0.6774193548,0.6774193548,0.5483870968,0.4516129032
2008,3000,90000,R,76,65,58.0,55.0,52.0,48.0,0.8552631579,0.7631578947,0.7236842105,0.6842105263,0.6315789474
2008,3000,90000,S,149,128,118.0,106.0,99.0,92.0,0.8590604027,0.7919463087,0.711409396,0.6644295302,0.6174496644
2008,4000,,A,16,15,13.0,13.0,13.0,10.0,0.9375,0.8125,0.8125,0.8125,0.625
2008,4000,,C,181,168,155.0,139.0,131.0,116.0,0.9281767956,0.8563535912,0.7679558011,0.7237569061,0.6408839779
2008,4000,,D,6,6,5.0,5.0,5.0,4.0,1.0,0.8333333333,0.8333333333,0.8333333333,0.6666666667
2008,4000,,E,9,8,6.0,6.0,6.0,6.0,0.8888888889,0.6666666667,0.6666666667,0.6666666667,0.6666666667
2008,4000,,F,973,914,852.0,768.0,700.0,628.0,0.9393627955,0.8756423433,0.789311408,0.7194244604,0.6454265159
2008,4000,,G,1307,1165,1040.0,917.0,839.0,735.0,0.8913542464,0.7957153787,0.701606733,0.6419280796,0.5623565417
2008,4000,,H,283,240,211.0,181.0,163.0,135.0,0.8480565371,0.7455830389,0.6395759717,0.5759717314,0.4770318021
2008,4000,,I,575,532,476.0,424.0,371.0,327.0,0.9252173913,0.827826087,0.7373913043,0.6452173913,0.5686956522
2008,4000,,J,786,663,566.0,501.0,459.0,418.0,0.8435114504,0.7201017812,0.6374045802,0.5839694656,0.5318066158
2008,4000,,K,70,64,59.0,52.0,47.0,44.0,0.9142857143,0.8428571429,0.7428571429,0.6714285714,0.6285714286
2008,4000,,L,217,201,184.0,175.0,156.0,140.0,0.9262672811,0.8479262673,0.8064516129,0.7188940092,0.6451612903
2008,4000,,M,1648,1491,1364.0,1253.0,1162.0,1086.0,0.9047330097,0.8276699029,0.760315534,0.7050970874,0.6589805825
2008,4000,,N,766,677,601.0,545.0,486.0,447.0,0.8838120104,0.7845953003,0.7114882507,0.634464752,0.5835509138
2008,4000,,O,5,4,4.0,4.0,3.0,3.0,0.8,0.8,0.8,0.6,0.6
2008,4000,,P,120,102,96.0,77.0,72.0,69.0,0.85,0.8,0.6416666667,0.6,0.575
2008,4000,,Q,84,70,61.0,51.0,47.0,45.0,0.8333333333,0.7261904762,0.6071428571,0.5595238095,0.5357142857
2008,4000,,R,239,216,201.0,172.0,158.0,137.0,0.9037656904,0.8410041841,0.719665272,0.6610878661,0.5732217573
2008,4000,,S,427,374,335.0,302.0,277.0,251.0,0.8758782201,0.7845433255,0.7072599532,0.6487119438,0.5878220141
2008,4000,,T,4,1,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25
2008,4000,,U,2,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2009,2000,10000,A,165,161,152.0,145.0,136.0,130.0,0.9757575758,0.9212121212,0.8787878788,0.8242424242,0.7878787879
2009,2000,10000,C,348,321,301.0,269.0,246.0,223.0,0.9224137931,0.8649425287,0.7729885057,0.7068965517,0.6408045977
2009,2000,10000,D,17,17,16.0,16.0,13.0,13.0,1.0,0.9411764706,0.9411764706,0.7647058824,0.7647058824
2009,2000,10000,E,16,15,15.0,15.0,14.0,13.0,0.9375,0.9375,0.9375,0.875,0.8125
2009,2000,10000,F,1121,1057,983.0,915.0,838.0,777.0,0.9429081178,0.8768956289,0.816235504,0.7475468332,0.6931311329
2009,2000,10000,G,1737,1551,1392.0,1267.0,1149.0,1052.0,0.8929188256,0.8013816926,0.7294185377,0.6614853195,0.6056419113
2009,2000,10000,H,280,248,231.0,212.0,194.0,173.0,0.8857142857,0.825,0.7571428571,0.6928571429,0.6178571429
2009,2000,10000,I,817,719,635.0,558.0,477.0,431.0,0.8800489596,0.7772337821,0.6829865361,0.5838433293,0.5275397797
2009,2000,10000,J,675,590,531.0,478.0,439.0,397.0,0.8740740741,0.7866666667,0.7081481481,0.6503703704,0.5881481481
2009,2000,10000,K,75,71,64.0,60.0,51.0,46.0,0.9466666667,0.8533333333,0.8,0.68,0.6133333333
2009,2000,10000,L,215,196,181.0,166.0,150.0,137.0,0.911627907,0.8418604651,0.7720930233,0.6976744186,0.6372093023
2009,2000,10000,M,2032,1890,1777.0,1650.0,1522.0,1391.0,0.9301181102,0.874507874,0.812007874,0.749015748,0.6845472441
