year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2021,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,2.4
2022,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.87
2009,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,4.83
2010,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,4.86
2011,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,12.45
2012,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,3.64
2013,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,2.94
2014,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,3.02
2015,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,3.93
2016,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,4.5
2017,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,3.79
2018,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,1.67
2019,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,2.41
2020,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,3.73
2021,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,0.0
2022,R002,2. Nettoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,3.66
2009,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,3.43
2010,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,4.7
2011,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,3.86
2012,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,3.28
2013,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,3.51
2014,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,4.1
2015,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.27
2016,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.33
2017,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.3
2018,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.24
2019,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.16
2020,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.25
2021,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.59
2022,R002,2. Nettoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,5.71
2009,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,10.45
2010,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,4.34
2011,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,3.98
2012,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,4.66
2013,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,4.99
