year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2014,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.93
2015,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,2.73
2016,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.56
2017,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.5
2018,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.42
2019,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,2.77
2020,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,2.5
2021,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.54
2022,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,2.99
2009,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,4.51
2010,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,4.24
2011,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,4.08
2012,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,3.11
2013,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,3.24
2014,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,2.83
2015,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,2.89
2016,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,3.69
2017,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,3.75
2018,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,3.01
2019,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,3.88
2020,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,4.3
2021,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,4.81
2022,R002,2. Nettoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,4.94
2011,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,2.82
2012,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,2.93
2013,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,3.9
2014,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,4.07
2015,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,4.09
2016,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,4.6
2017,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,2.94
2018,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,2.2
2019,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,2.19
2020,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,4.64
2021,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,5.48
2022,R002,2. Nettoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,0.0
2009,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,7.01
2010,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,5.79
2011,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,5.52
2012,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,4.0
2013,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,4.64
2014,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,4.35
2015,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,4.7
2016,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,5.13
2017,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,3.88
2018,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,4.58
2019,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,3.87
2020,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,5.33
2021,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,5.82
2022,R002,2. Nettoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,6.05
2009,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,57512.73
2010,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,58020.21
2011,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,59522.1
2012,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,61393.79
2013,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,59835.73
2014,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,63629.73
2015,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,64998.4
2016,R004,4.Toegevoegde waarde per personeelslid (in EUR),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,68244.65
