CD_REFNIS,CD_SUP_REFNIS,TX_REFNIS_NL,Huizen_totaal_2025,Appartementen_2025,Woningen_Nieuwbouw_2019sep-2022aug,Woningen_Nieuwbouw_2022sep-2025aug,Woningen_Nieuwbouw_pct_verschil_36m,Gebouwen_Renovatie_2019sep-2022aug,Gebouwen_Renovatie_2022sep-2025aug,Gebouwen_Renovatie_pct_verschil_36m,HH_available,hh_1_2025,hh_2_2025,hh_3_2025,hh_4+_2025,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename
31043,31000,Knokke-Heist,9935,30772,2473.0,1144.0,-53.74,423.0,383.0,-9.46,True,7149.0,6379.0,1635.0,1627.0,3.15,-7.78,-7.34,16.96,225.0,-496.0,-120.0,276.0
25005,25000,Bevekom,2772,188,70.0,37.0,-47.14,42.0,40.0,-4.76,False,,,,,,,,,,,,
25014,25000,Eigenbrakel,13178,4246,166.0,179.0,7.83,228.0,127.0,-44.3,False,,,,,,,,,,,,
25015,25000,Kasteelbrakel,3843,527,99.0,55.0,-44.44,83.0,64.0,-22.89,False,,,,,,,,,,,,
25018,25000,Chaumont-Gistoux,4499,456,105.0,91.0,-13.33,100.0,86.0,-14.0,False,,,,,,,,,,,,
25023,25000,Court-Saint-Etienne,3532,927,194.0,309.0,59.28,66.0,59.0,-10.61,False,,,,,,,,,,,,
25031,25000,Genepiën,5862,970,198.0,172.0,-13.13,129.0,108.0,-16.28,False,,,,,,,,,,,,
25037,25000,Graven,5195,630,94.0,107.0,13.83,116.0,137.0,18.1,False,,,,,,,,,,,,
25043,25000,Incourt,2177,124,53.0,73.0,37.74,52.0,49.0,-5.77,False,,,,,,,,,,,,
25044,25000,Itter,2577,255,39.0,32.0,-17.95,63.0,46.0,-26.98,False,,,,,,,,,,,,
25048,25000,Geldenaken,5198,1059,185.0,186.0,0.54,97.0,86.0,-11.34,False,,,,,,,,,,,,
25050,25000,Terhulpen,2669,542,63.0,17.0,-73.02,61.0,36.0,-40.98,False,,,,,,,,,,,,
25068,25000,Mont-Saint-Guibert,2489,1175,185.0,120.0,-35.14,63.0,38.0,-39.68,False,,,,,,,,,,,,
25072,25000,Nijvel,7897,6188,345.0,193.0,-44.06,188.0,141.0,-25.0,False,,,,,,,,,,,,
25084,25000,Perwijs (Nijvel),3227,964,99.0,72.0,-27.27,78.0,55.0,-29.49,False,,,,,,,,,,,,
25091,25000,Rixensart,7941,1856,121.0,80.0,-33.88,207.0,202.0,-2.42,False,,,,,,,,,,,,
25105,25000,Tubeke,8016,3911,938.0,287.0,-69.4,113.0,123.0,8.85,False,,,,,,,,,,,,
25107,25000,Villers-la-Ville,4108,425,128.0,86.0,-32.81,143.0,81.0,-43.36,False,,,,,,,,,,,,
25110,25000,Waterloo,10105,3188,134.0,99.0,-26.12,287.0,227.0,-20.91,False,,,,,,,,,,,,
25112,25000,Waver,10606,4999,264.0,216.0,-18.18,230.0,191.0,-16.96,False,,,,,,,,,,,,
25117,25000,Chastre,2809,270,60.0,37.0,-38.33,71.0,66.0,-7.04,False,,,,,,,,,,,,
25118,25000,Hélécine,1449,156,71.0,36.0,-49.3,34.0,24.0,-29.41,False,,,,,,,,,,,,
25119,25000,Lasne,5557,422,188.0,91.0,-51.6,160.0,121.0,-24.38,False,,,,,,,,,,,,
25120,25000,Orp-Jauche,3418,257,112.0,60.0,-46.43,67.0,25.0,-62.69,False,,,,,,,,,,,,
25121,25000,Ottignies-Louvain-la-Neuve,8587,14158,349.0,174.0,-50.14,163.0,151.0,-7.36,False,,,,,,,,,,,,
25122,25000,Ramillies,2524,90,90.0,52.0,-42.22,75.0,58.0,-22.67,False,,,,,,,,,,,,
25123,25000,Rebecq,4231,389,84.0,34.0,-59.52,97.0,56.0,-42.27,False,,,,,,,,,,,,
25124,25000,Walhain,2672,351,67.0,36.0,-46.27,75.0,48.0,-36.0,False,,,,,,,,,,,,
